slot,latency_us,deadline_miss,emulation_mode,note,emulation_method
70,804.892,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
71,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
72,851.364,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
73,843.568,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
74,928.564,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
75,799.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
76,803.136,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
77,810.196,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
78,863.324,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
79,824.696,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
80,801.392,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
81,803.136,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
82,828.404,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
83,888.288,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
84,821.024,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
85,799.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
86,834.028,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
87,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
88,923.908,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
89,879.808,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
90,811.984,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
91,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
92,822.856,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
93,877.716,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
94,970.104,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
95,896.936,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
96,1224.716,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
97,1032.604,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
98,859.300,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
99,851.364,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
